ID,Category,Type,Difficulty,Question / Statement,Created By,번역,한국인_적합도,분류_이유,출제_추천
9810,Geography,Multiple Choice,Hard,Where is Fort Marlborough located?,Sebs,포트말보로의 위치는 어떻게 되나요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9792,Geography,Multiple Choice,Easy,"Which of the following geographic features is a ring-shaped coral reef, island, or series of islets?",dellingc,"다음 중 고리 모양의 산호초, 섬 또는 일련의 섬인 지리적 특징은 무엇인가요?",일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9791,Geography,Multiple Choice,Medium,Bikini Atoll is in which country?,dellingc,비키니 환초는 어느 나라에 있나요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9700,History,Multiple Choice,Hard,Which country were potatoes originally grown?,HeyStella,감자는 원래 어느 나라에서 재배되었나요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,조건부
9699,Geography,Multiple Choice,Medium,What is the capital of Ecuador?,HeyStella,에콰도르의 수도는 무엇인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9698,Geography,Multiple Choice,Hard,Where is Timbuktu located?,HeyStella,팀북투는 어디에 있나요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9691,Art,Multiple Choice,Medium,Which Greek sculptor designed the Athena Parthenos statue inside the Parthenon?,SkyZero96,파르테논 신전 내부의 아테나 파르테노스 조각상을 디자인한 그리스 조각가는 누구인가요?,일반,학교 교육이나 대중매체에서 접할 수 있는 미술 상식입니다.,추천
9690,Geography,Multiple Choice,Medium,Which Oceanian nation is known in Māori as Aotearoa?,Cadet,마오리어로 아오테아로아(Aotearoa)로 알려진 오세아니아 국가는 어디인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9645,Geography,Multiple Choice,Hard,Which of these countries is NOT the only country to start with that letter of the alphabet?,jmsr525,다음 중 해당 알파벳 문자로 시작하는 유일한 국가가 아닌 국가는 어디인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9642,History,Multiple Choice,Medium,"As poverty and racial tensions pushed African-Americans out of the southern US, many of them moved north in an event known as what?",Cadet,빈곤과 인종적 긴장으로 인해 아프리카계 미국인들이 미국 남부에서 밀려나자 그들 중 많은 사람들이 북쪽으로 이주했습니다. 이 사건은 무엇인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
9641,History,Multiple Choice,Medium,What was the name of the African-American cultural explosion centered in upper Manhattan during the 1920s and 1930s?,Cadet,1920년대와 1930년대 맨해튼 북부를 중심으로 일어난 아프리카계 미국인 문화 폭발의 이름은 무엇인가요?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
9640,Geography,Multiple Choice,Hard,Where is the city of Haarlem located?,Cadet,하를렘 시는 어디에 위치해 있나요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9633,Geography,Multiple Choice,Hard,With which country does France share its largest land border,bartlett,프랑스는 어느 나라와 가장 큰 국경을 공유하고 있습니까?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9626,Politics,Multiple Choice,Easy,Who was South Africa's first Black President?,bruce,남아프리카 최초의 흑인 대통령은 누구인가요?,일반,국제 뉴스나 사회 교육에서 접할 수 있는 정치 상식입니다.,추천
9616,Geography,Multiple Choice,Easy,About how many countries are there in the world?,jmsr525,전 세계에는 대략 몇 개국이 있나요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9609,Entertainment: Music,Multiple Choice,Easy,Which genre of music is John Coltrane primarily associated with?,ITheWarden,John Coltrane은 주로 어떤 장르의 음악과 관련이 있습니까?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
9604,Animals,Multiple Choice,Hard,Chronic Wasting Disease (CWD) exclusively infects members of which family of animals?,ITheWarden,만성 소모성 질환(CWD)은 다음 중 어느 동물과에 속하는 구성원에게만 감염됩니까?,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,조건부
9601,Science: Computers,Multiple Choice,Easy,What does SSD stand for?,khairul,SSD는 무엇을 의미합니까?,전문/마니아,컴퓨터 구조·소프트웨어에 관한 기술 지식이 필요한 문제입니다.,조건부
9575,Entertainment: Music,Multiple Choice,Medium,"Which city is the American singer ""Pitbull"" from?",ITheWarden,미국 가수 'Pitbull'은 어느 도시 출신인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
9564,Science: Computers,Multiple Choice,Easy,What kind of memory is used on memory cache?,g1216199,메모리 캐시에는 어떤 종류의 메모리가 사용됩니까?,전문/마니아,컴퓨터 구조·소프트웨어에 관한 기술 지식이 필요한 문제입니다.,조건부
9545,Entertainment: Music,Multiple Choice,Medium,"In music theory, how many notes are in a seventh chord?",jtp40,음악 이론에서 7화음에는 몇 개의 음표가 있습니까?,일반,음악 교육이나 대중문화에서 접할 수 있는 기초 음악 상식입니다.,추천
9542,Entertainment: Music,Multiple Choice,Easy,"Which Daft Punk album is the song ""Harder, Better, Faster, Stronger"" from?",ITheWarden,"Daft Punk의 ""Harder, Better, Faster, Stronger"" 노래는 어느 앨범에 포함되어 있나요?",전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
9539,Animals,True / False,Medium,"The ""mountain chicken"" is a chicken.",Azurehue22,"""산닭""은 닭이다.",일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,추천
9516,Science & Nature,Multiple Choice,Medium,Which of these is NOT a bone found in the human arm?,SkyZero96,다음 중 사람의 팔에서 발견된 뼈가 아닌 것은 무엇인가요?,일반,한국의 과학 교육과정이나 보편적인 자연과학 상식입니다.,조건부
9515,Science: Mathematics,True / False,Medium,Aleph-nought is the cardinality of the set of all natural numbers.,SkyZero96,알레프노트(Aleph-nought)는 모든 자연수 집합의 카디널리티입니다.,전문/마니아,고급 수학 개념이나 수학사 지식이 필요한 문제입니다.,조건부
9514,Science: Mathematics,Multiple Choice,Easy,"What comes after a Million, a Billion, and a Trillion?",SkyZero96,"100만, 10억, 1조 뒤에는 무엇이 올까요?",전문/마니아,고급 수학 개념이나 수학사 지식이 필요한 문제입니다.,조건부
9512,General Knowledge,Multiple Choice,Easy,What is the perimeter of a circle more commonly known as?,SkyZero96,더 일반적으로 알려진 원의 둘레는 무엇인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
9498,Animals,Multiple Choice,Medium,Which dog breed is named after a region in Croatia,likliklik,크로아티아 지역의 이름을 딴 개 품종은 무엇인가요?,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,추천
9495,Geography,True / False,Hard,"In the Canadian province of Alberta, the city of Calgary is located further north than the city of Edmonton.",Cadet,캐나다 앨버타 주에는 캘거리 시가 에드먼턴 시보다 더 북쪽에 위치해 있습니다.,해외특화,특정 외국의 지방 행정구역에 관한 현지 중심 지식입니다.,비추천
9493,Science: Computers,Multiple Choice,Easy,What does the computer software acronym JVM stand for?,Karen,컴퓨터 소프트웨어 약어 JVM은 무엇을 의미합니까?,일반,디지털 기기와 인터넷 사용에서 접할 수 있는 기초 컴퓨터 상식입니다.,추천
9479,Politics,Multiple Choice,Medium,Who is one of the co-princes of Andorra?,HaniiPuppy,안도라의 공동 왕자 중 한 명은 누구인가요?,일반,국제 뉴스나 사회 교육에서 접할 수 있는 정치 상식입니다.,추천
9443,Geography,Multiple Choice,Hard,Which of the following is a castle?,HaniiPuppy,다음 중 성은 무엇인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9440,Animals,Multiple Choice,Easy,Which of these animals are not real?,HaniiPuppy,다음 중 실제 동물이 아닌 것은 무엇인가요?,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,조건부
9439,Science: Computers,Multiple Choice,Easy,"In computing, how many bits are in a nibble?",HaniiPuppy,컴퓨팅에서 니블에는 몇 비트가 포함됩니까?,전문/마니아,컴퓨터 구조·소프트웨어에 관한 기술 지식이 필요한 문제입니다.,조건부
9430,Geography,Multiple Choice,Hard,Which city is the capital of Michigan?,Chianticat10,미시간 주의 주도는 어느 도시인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9425,Geography,Multiple Choice,Easy,What is the capital of Bangladesh?,tanbir2025,방글라데시의 수도는 무엇인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9306,Geography,True / False,Medium,Russia shares a land border with North Korea.,Pimastr,러시아는 북한과 육지 국경을 공유하고 있다.,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9305,Geography,Multiple Choice,Hard,How many countries share a land border with Russia? (Not including disputed territories),Pimastr,러시아와 육로 국경을 맞대고 있는 나라는 몇 개인가요? (분쟁 지역 제외),일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9281,Animals,Multiple Choice,Hard,What is the average amount of chinchillas born into a single litter?,GeneralGramps,한 배에 태어난 친칠라의 평균 양은 얼마입니까?,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,조건부
9273,Geography,Multiple Choice,Hard,How many islands does Kuwait have?,ArrogantAmbassador1,쿠웨이트에는 섬이 몇 개 있나요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9260,Animals,True / False,Medium,The echidna is a monotreme.,teonactl,바늘 두더지는 단공류입니다.,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,추천
9249,Science: Computers,Multiple Choice,Easy,What does the term USB stand for?,SirFrolo,USB라는 용어는 무엇을 의미합니까?,전문/마니아,컴퓨터 구조·소프트웨어에 관한 기술 지식이 필요한 문제입니다.,조건부
9236,Animals,Multiple Choice,Medium,What is the national bird of Bahrain?,ArrogantAmbassador1,바레인의 국가 새는 무엇인가요?,해외특화,특정 국가의 상징물에 관한 현지 문화 중심 지식입니다.,비추천
9233,Entertainment: Film,Multiple Choice,Easy,Who portrayed Han Solo in the Star Wars main film series?,SkyZero96,스타워즈 주요 영화 시리즈에서 한 솔로를 연기한 사람은 누구인가요?,전문/마니아,특정 영화·방송 작품의 인물이나 세부 내용을 알아야 풀 수 있습니다.,조건부
9232,Science & Nature,Multiple Choice,Medium,"Which NASA Space Shuttle broke apart during atmospheric re-entry on February 1, 2003?",SkyZero96,2003년 2월 1일 대기권 재진입 중에 어떤 NASA 우주왕복선이 부서졌습니까?,일반,한국의 과학 교육과정이나 보편적인 자연과학 상식입니다.,추천
9231,Science & Nature,Multiple Choice,Easy,What is the chemical symbol for Helium?,SkyZero96,헬륨의 화학 기호는 무엇인가요?,일반,한국의 과학 교육과정이나 보편적인 자연과학 상식입니다.,추천
9230,Geography,True / False,Easy,Alaska and Hawaii are the only US states that have their own timezones.,SkyZero96,알래스카와 하와이는 미국에서 유일하게 자체 시간대를 갖고 있는 주입니다.,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9229,Geography,Multiple Choice,Medium,What is the only nation that borders both Uruguay and Venezuela?,SkyZero96,우루과이와 베네수엘라에 접해 있는 유일한 국가는 무엇인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9228,Entertainment: Film,Multiple Choice,Easy,"What movie starring Bruce Willis contains the line ""I see dead people""?",SkyZero96,"브루스 윌리스 주연의 영화에 ""나는 죽은 사람을 본다""라는 대사가 포함되어 있나요?",전문/마니아,특정 영화·방송 작품의 인물이나 세부 내용을 알아야 풀 수 있습니다.,조건부
9227,Entertainment: Film,Multiple Choice,Medium,In what movie does Eddie Murphy swap identities with Dan Aykroyd?,SkyZero96,어떤 영화에서 Eddie Murphy가 Dan Aykroyd와 신분을 바꾸나요?,전문/마니아,특정 영화·방송 작품의 인물이나 세부 내용을 알아야 풀 수 있습니다.,조건부
9226,Geography,Multiple Choice,Medium,"What Texas city is nicknamed ""The Yellow Rose of Texas""?",SkyZero96,"""텍사스의 노란 장미""라는 별명을 가진 텍사스 도시는 어디인가요?",일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9225,General Knowledge,Multiple Choice,Medium,In which country was the Michelin tire company founded in 1889?,SkyZero96,1889년에 미쉐린 타이어 회사가 설립된 나라는 어디인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
9224,Entertainment: Music,Multiple Choice,Medium,Who was the youngest member of The Beatles?,SkyZero96,비틀즈의 막내 멤버는 누구인가요?,일반,한국에서도 널리 알려진 음악가나 대중음악 상식입니다.,추천
9223,Entertainment: Music,Multiple Choice,Medium,Who was the oldest member of The Beatles?,SkyZero96,비틀즈의 가장 나이 많은 멤버는 누구인가요?,일반,한국에서도 널리 알려진 음악가나 대중음악 상식입니다.,추천
9214,History,Multiple Choice,Medium,How old was the famous King Tutankhamen (Tut) when he died?,Tutman,유명한 투탕카멘 왕(Tut)은 몇 살에 죽었습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
9208,Science: Computers,Multiple Choice,Easy,How many bits are commonly in a single byte?,pratiksankhe,단일 바이트에는 일반적으로 몇 개의 비트가 있습니까?,전문/마니아,컴퓨터 구조·소프트웨어에 관한 기술 지식이 필요한 문제입니다.,조건부
9201,Geography,Multiple Choice,Medium,The White Cliffs of Dover is located in which country?,TJester,도버 백악절벽이 위치한 국가는 어디일까요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9159,Geography,Multiple Choice,Easy,Which of these places is a location in Cornwall?,Agent2583,다음 중 콘월에 있는 장소는 어디인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9146,Science: Computers,Multiple Choice,Medium,"What does the DOS in Microsoft's first operating system ""MS-DOS"" stand for?",Weapon7x,"Microsoft의 첫 번째 운영 체제인 ""MS-DOS""에서 DOS는 무엇을 의미합니까?",전문/마니아,컴퓨터 구조·소프트웨어에 관한 기술 지식이 필요한 문제입니다.,조건부
9133,Art,Multiple Choice,Hard,Paul Gauguin moved to which country in 1895?,eyefunct,폴 고갱은 1895년에 어느 나라로 이주했습니까?,전문/마니아,특정 미술 작품·작가에 관한 전문적인 배경지식이 필요합니다.,비추천
9128,Animals,Multiple Choice,Easy,Wombats are native to which Country?,mimerienda,웜뱃은 어느 나라 출신인가요?,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,추천
9121,Geography,Multiple Choice,Medium,In which country is located the municipality of Arteijo?,mimerienda,Arteijo 자치단체는 어느 나라에 위치해 있나요?,해외특화,특정 외국의 지방 행정구역에 관한 현지 중심 지식입니다.,비추천
9119,General Knowledge,Multiple Choice,Hard,"Where in La Coruña (Spain) is the headquarters of ""Inditex"", the biggest fashion group in the world?",mimerienda,세계 최대 패션 그룹 '인디텍스'의 본사가 있는 스페인 라코루냐는 어디일까요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,조건부
9098,History,Multiple Choice,Easy,What year did the Titanic sink?,adamglendenning,타이타닉은 몇 년도에 침몰했습니까?,일반,세계사 교육이나 일반 교양으로 접할 수 있는 역사 문제입니다.,추천
9081,Entertainment: Video Games,Multiple Choice,Easy,"In the second-generation Pokémon games, which Pokémon can you start with?",Mighty,2세대 포켓몬 게임에서는 어떤 포켓몬으로 시작할 수 있나요?,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9080,Geography,True / False,Hard,The flag of Belarus has a red and white embroidery pattern on the hoist side.,Druss,벨로루시의 국기는 호이스트 측면에 빨간색과 흰색 자수 패턴이 있습니다.,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9079,Geography,Multiple Choice,Hard,What is the capital of Burkina Faso?,Galaxy,부르키나파소의 수도는 무엇인가요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9073,Mythology,Multiple Choice,Medium,"Who is the father of Icarus, who flew too close to the sun?",coots,태양에 너무 가까이 날아간 이카루스의 아버지는 누구인가?,일반,학교 교육이나 대중문화에서 접할 수 있는 고전 신화 상식입니다.,추천
9072,Mythology,Multiple Choice,Easy,"What weakpoint of Achilles was expoited by the Trojan prince, Paris?",coots,트로이 왕자 파리스는 아킬레우스의 어떤 약점을 이용했습니까?,일반,학교 교육이나 대중문화에서 접할 수 있는 고전 신화 상식입니다.,추천
9071,Mythology,Multiple Choice,Medium,What is the name of the wildman that Gilgamesh befriends and goes on adventures with?,coots,길가메시가 친구가 되어 함께 모험을 떠나는 야생인의 이름은 무엇인가요?,일반,학교 교육이나 대중문화에서 접할 수 있는 고전 신화 상식입니다.,추천
9064,General Knowledge,Multiple Choice,Hard,This Ghanaian entrepreneur is a pioneer of microlending.,ProfessorFarkus,소액 대출의 선구자로 알려진 이 가나 기업가는 누구인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,조건부
9061,Science: Gadgets,Multiple Choice,Medium,This former Air Force and NASA engineer is the inventor of the Super Soaker water gun.,ProfessorFarkus,Super Soaker 물총을 발명한 전직 미 공군 및 NASA 엔지니어는 누구인가요?,전문/마니아,특정 기기 모델이나 기술 이력을 알아야 풀 수 있습니다.,조건부
9044,Entertainment: Board Games,True / False,Medium,Wooden molding scraps were used to make the original Monopoly houses and hotels.,BWard,목재 성형 스크랩은 원래의 모노폴리 주택과 호텔을 만드는 데 사용되었습니다.,전문/마니아,특정 보드게임의 규칙이나 구성요소를 알아야 풀 수 있습니다.,조건부
9041,Animals,Multiple Choice,Medium,About how much of their body weight in food do sea otters eat every day?,BWard,해달이 매일 먹는 음식은 체중의 어느 정도입니까?,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,추천
9035,Geography,Multiple Choice,Easy,In which ocean is the Réunion island?,CarmineZ,레위니옹 섬은 어느 바다에 있나요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,추천
9032,Geography,Multiple Choice,Hard,What is the world's smallest country by population?,BCButcher,인구 기준으로 세계에서 가장 작은 나라는 어디일까요?,일반,한국의 교육과정이나 세계지리 상식으로 접할 수 있는 문제입니다.,조건부
9014,Entertainment: Video Games,Multiple Choice,Easy,"When was ""Luigi's Mansion 3"" released?",Noctithra,"""루이지 맨션 3""는 언제 출시되었나요?",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9011,Entertainment: Video Games,True / False,Easy,"In ""Space Station 13"", the station has a clown aboard it.",Coldflame,"""Space Station 13""에서는 정거장에 광대가 타고 있습니다.",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9010,Entertainment: Video Games,True / False,Easy,The shotgun appears in every numbered Resident Evil game.,Coldflame,샷건은 번호가 매겨진 모든 레지던트 이블 게임에 등장합니다.,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9009,Entertainment: Video Games,True / False,Easy,"""Resident Evil 7"" is the first first-person Resident Evil game.",Coldflame,"""레지던트 이블 7""은 최초의 1인칭 레지던트 이블 게임입니다.",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9008,Entertainment: Video Games,Multiple Choice,Medium,"In ""Resident Evil 2"", which virus was William Birkin mutated by?",Coldflame,"""레지던트 이블 2""에서 윌리엄 버킨은 어떤 바이러스에 의해 변이되었나요?",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9007,Entertainment: Video Games,Multiple Choice,Medium,"Which of the following characters is NOT playable in ""Resident Evil 6""?",Coldflame,"다음 중 ""레지던트 이블 6""에서 플레이할 수 없는 캐릭터는 무엇인가요?",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9006,Entertainment: Video Games,True / False,Medium,"In ""Resident Evil"", only Chris has access to the grenade launcher.",Coldflame,"""레지던트 이블""에서는 크리스만이 유탄 발사기에 접근할 수 있습니다.",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9005,General Knowledge,Multiple Choice,Hard,"In ""Resident Evil 3"", how many inventory slots does Jill have at the start of the game?",Coldflame,"""Resident Evil 3""에서 Jill은 게임 시작 시 몇 개의 인벤토리 슬롯을 가지고 있습니까?",전문/마니아,특정 게임·콘텐츠의 세부 정보를 알아야 풀 수 있습니다.,비추천
9004,Entertainment: Video Games,True / False,Medium,"In the Resident Evil series, Leon S. Kennedy is a member of STARS.",Coldflame,레지던트 이블 시리즈에서 레온 S. 케네디는 STARS의 멤버입니다.,전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,조건부
9003,Entertainment: Music,Multiple Choice,Medium,Which of these songs was NOT released in the 90s?,bja95,다음 중 90년대에 발매되지 않은 노래는 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
8999,Science: Computers,True / False,Hard,Apple was on the verge of bankruptcy in 1997 and was saved by Microsoft,Dalek,"애플은 1997년 파산 직전에 있었고, 마이크로소프트에 의해 구원받았다.",전문/마니아,컴퓨터 구조·소프트웨어에 관한 기술 지식이 필요한 문제입니다.,비추천
8998,General Knowledge,Multiple Choice,Easy,Gouda cheese is from which European country?,CollaredDragon,고다 치즈는 어느 유럽 국가에서 생산됩니까?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
8997,General Knowledge,Multiple Choice,Hard,Xanthophobia is the fear of what color?,CollaredDragon,Xanthophobia는 어떤 색에 대한 두려움입니까?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,조건부
8996,Entertainment: Video Games,Multiple Choice,Hard,"According to an interview with ""Super Mario Land 2"" game director Hiroji Kiyotake, what is Wario's favorite food?",WireframeWizard,"'슈퍼 마리오 랜드 2' 게임 디렉터 기요타케 히로지와의 인터뷰에 따르면, 와리오가 가장 좋아하는 음식은 무엇인가요?",전문/마니아,특정 게임의 캐릭터·설정·플레이 지식을 알아야 풀 수 있습니다.,비추천
8989,Science: Mathematics,Multiple Choice,Easy,Which two men are credited with independently discovering differential calculus?,pierrejc,독립적으로 미적분학을 발견한 두 사람은 누구인가요?,전문/마니아,고급 수학 개념이나 수학사 지식이 필요한 문제입니다.,조건부
8983,Science & Nature,Multiple Choice,Easy,How many moons does Pluto have?,drgriffen,명왕성은 몇 개의 달을 갖고 있나요?,일반,한국의 과학 교육과정이나 보편적인 자연과학 상식입니다.,추천
8981,Entertainment: Music,Multiple Choice,Easy,Which song is NOT by singer Tom Jones?,CommonSenseBro,가수 Tom Jones의 노래가 아닌 것은 무엇인가요?,전문/마니아,특정 가수·밴드·음반의 세부 이력을 알아야 풀 수 있습니다.,조건부
8977,General Knowledge,Multiple Choice,Easy,Trypophobia is the fear of,CalebNg,환공포증(Trypophobia)은 무엇에 대한 공포인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
8967,Science: Mathematics,Multiple Choice,Medium,"A mathematical constant, known as ""The Golden Ratio"", is most commonly represented by which greek letter?",ChefLaur,"""황금 비율""로 알려진 수학 상수를 가장 일반적으로 나타내는 그리스 문자는 무엇인가요?",전문/마니아,고급 수학 개념이나 수학사 지식이 필요한 문제입니다.,조건부
8964,General Knowledge,Multiple Choice,Medium,Which of the following correctly describes Japanese word order?,xkwebster,다음 중 일본어 단어 순서를 올바르게 설명한 것은 무엇인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,조건부
8963,General Knowledge,Multiple Choice,Hard,"In linguistics, which of the following is not one of the Gricean Maxims under the Cooperative Principal?",xkwebster,언어학에서 다음 중 협동조합 교장 아래의 그리이스 격언이 아닌 것은 무엇인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,조건부
8960,General Knowledge,Multiple Choice,Hard,Which of these Indian languages is not part of the Indo-European language family?,xkwebster,다음 중 인도유럽어족에 속하지 않는 인도어는 무엇인가요?,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,조건부
8953,General Knowledge,Multiple Choice,Easy,"Who is the origin of the quote ""What doesn't kill you makes you stronger""?",wyrm,"""당신을 죽이지 않는 것이 당신을 더 강하게 만든다""라는 말의 유래는 누구인가요?",일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
8933,Science & Nature,True / False,Medium,"If you dip a dry towel into a tub full of water, water will climb up the towel by a phenomenon called ""Cartillary Action""",danceswithpedals,물이 담긴 욕조에 마른 수건을 담그면 '연골 작용'이라는 현상으로 물이 수건 위로 올라갑니다.,일반,한국의 과학 교육과정이나 보편적인 자연과학 상식입니다.,추천
8932,Politics,Multiple Choice,Easy,What candidate won the 2012 US Presidential Election?,danceswithpedals,2012년 미국 대통령 선거에서 어떤 후보가 승리했습니까?,일반,국제 뉴스나 사회 교육에서 접할 수 있는 정치 상식입니다.,추천
8923,Science: Gadgets,True / False,Easy,The iPhone 3G was the second iPhone generation.,DjDukes,iPhone 3G는 iPhone 2세대였습니다.,일반,한국에서도 널리 쓰이는 전자기기에 관한 대중적 상식입니다.,추천
8921,Animals,Multiple Choice,Easy,What color is a Steller's Jay?,Exotickitty3,Steller's Jay는 어떤 색인가요?,일반,대중매체나 생물 교육에서 접할 수 있는 동물 상식입니다.,추천
8920,General Knowledge,True / False,Easy,Ping-Pong originated in England,Exotickitty3,탁구는 영국에서 시작되었습니다.,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
8917,General Knowledge,True / False,Easy,Jingle Bells was originally meant for Thanksgiving,Exotickitty3,징글벨은 원래 추수감사절을 위해 만들어졌습니다.,해외특화,특정 외국의 생활문화 경험이 있어야 유리한 문제입니다.,조건부
8916,General Knowledge,Multiple Choice,Easy,In what year did Canada stop producing the penny?,Exotickitty3,캐나다는 몇 년에 페니 생산을 중단했습니까?,해외특화,특정 외국의 생활문화 경험이 있어야 유리한 문제입니다.,조건부
8915,General Knowledge,Multiple Choice,Medium,What is the most-visited website out of these options?,Exotickitty3,이 옵션 중에서 가장 많이 방문한 웹사이트는 무엇인가요?,일반,보편적인 주제지만 시점에 따라 정답이 달라질 수 있습니다.,비추천
8910,General Knowledge,True / False,Medium,The Happy Face was created by commercial artist Harvey Ball.,Exotickitty3,The Happy Face는 상업 예술가 Harvey Ball이 제작했습니다.,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
8908,General Knowledge,Multiple Choice,Medium,Only 9% of US Households owned a television in,Exotickitty3,미국 가구 중 TV를 보유한 비율이 9%에 불과했던 해는 언제인가요?,해외특화,특정 외국의 생활문화 경험이 있어야 유리한 문제입니다.,비추천
8907,General Knowledge,True / False,Medium,The Original Jack-o-Lanterns were actually hollowed out turnips.,Exotickitty3,원래 Jack-o-Lantern은 실제로 속이 빈 순무였습니다.,일반,한국의 일반 교육과정이나 보편 상식으로 접할 수 있는 문제입니다.,추천
